Name,Age,Gender,Admission Test Score,High School Percentage,City,Admission Status
Zunaira,20,Female,98,54.59,Quetta,Accepted
Hania,24,Female,83,97.93,Quetta,Rejected
Mehwish,18,Female,72,67.51,NA,Accepted
Adeel,24,Male,71,74.65,Lahore,Accepted
Tariq,17,Female,82,67.09,Peshawar,Accepted
Zunaira,NA,Female,84,58.77,Quetta,Rejected
Qasim,17,NA,92,51.96,Lahore,Accepted
Maham,23,Male,94,87.05,Karachi,Rejected
Aqsa,23,Female,NA,86.5,Quetta,Accepted
Daniyal,24,Female,77,67.32,Quetta,Rejected
Lubna,22,Male,74,90.56,Rawalpindi,Accepted
Junaid,23,Female,94,61.93,Peshawar,Accepted
Muneera,23,Male,77,57.93,Karachi,Rejected
Bushra,18,Female,93,99.8,Islamabad,Rejected
Hania,NA,Female,83,71.78,Islamabad,Accepted
Hania,18,Female,NA,61.83,NA,Accepted
Feroze,17,Male,91,71.17,Karachi,Rejected
Hassan,24,NA,79,75.67,Karachi,Accepted
Zunaira,19,Female,75,63.03,Peshawar,Rejected
Aliya,19,Male,79,91.85,Islamabad,Rejected
Asad,20,Female,51,NA,Peshawar,Rejected
Shafiq,17,Male,78,82.49,Quetta,Rejected
Maaz,20,Male,58,96.83,Peshawar,Accepted
Ali,20,Male,71,80.91,Lahore,Rejected
Shahzad,24,Female,74,74.13,Multan,Rejected
Hafsa,NA,Male,55,97.46,Quetta,Rejected
Asad,NA,Female,82,67.42,Lahore,Accepted
Asad,21,Male,NA,97.21,Karachi,Rejected
Qasim,23,Female,83,66.51,Quetta,Accepted
Shehroz,19,Male,NA,56.43,Rawalpindi,NA
Feroze,23,Female,51,92.36,Rawalpindi,Accepted
Laiba,21,Female,76,NA,Karachi,Rejected
Sana,22,Female,91,84.08,Quetta,Rejected
Zarina,19,Female,81,71.72,Quetta,Rejected
Sana,21,Female,53,NA,Rawalpindi,Rejected
NA,23,Female,93,98.71,Karachi,Accepted
Nimra,17,Female,68,61.66,NA,Rejected
Hammad,24,Female,71,83.84,Lahore,Accepted
NA,24,Female,50,87,Peshawar,Accepted
NA,21,NA,86,95.38,Quetta,Accepted
Nashit,NA,Male,89,84.64,Lahore,Accepted
Asad,20,Female,95,52.4,Rawalpindi,Rejected
Ali,19,Female,85,78.09,Quetta,Accepted
Bilal,17,Female,81,84.4,Islamabad,Rejected
Fatima,21,Female,98,50.86,Multan,Accepted
Shoaib,NA,Male,91,80.12,Quetta,Accepted
Maaz,17,Male,88,86.85,Lahore,Accepted
